MEDIA OUTLET,MEDIA TYPE, ESTIMATED AUDIENCE SIZE ,MALE,FEMALE,Children (7 - 12),Teens (13 - 17),Youth/Young Adults (18 - 29),Middle Aged Adults (30 - 44),Older Adults,UPPER CLASS,UPPER MIDDLE CLASS,LOWER MIDDLE CLASS,LOWER CLASS,BELOW SUBSISTENCE,MARRIED,SINGLE,OTHERS,PRIMARY ORLOWER,HIGH/SECONDARY SCHOOL,DIPLOMA/NCE,"   DEGREE, HND OR HIGHER","N30,000 OR LESS  _  _","N30,000 to N50,000  _  _","N50,000 to N100,000  _  _","N100,000 to N200,000   _","N200,000 to N500,000   _","N500,000   and above __    _",   Don't Know/Refused,CHRISTIANITY,ISLAM,OTHERS_1,WORKING,SELF -MPLOYED,STUDENT/APPRENTICE,RETIRED/ FULL HOUSEWIFE,UNEMPLOYED
Alaroyeonline.com,Online Newspaper,2249014,51%,49%,5%,5%,42%,38%,10%,12%,16%,28%,31%,13%,47%,52%,1%,9%,44%,21%,26%,25%,15%,23%,15%,9%,1%,13%,48%,52%,0%,42%,14%,27%,10%,7%
BBC.com,Online Newspaper,12268198,51%,49%,4%,3%,48%,39%,8%,7%,17%,25%,39%,12%,56%,42%,1%,15%,45%,27%,13%,28%,13%,26%,12%,2%,0%,18%,33%,67%,0%,22%,32%,24%,13%,9%
Businessdayonline.com,Online Newspaper,1713401,50%,50%,5%,11%,41%,34%,10%,6%,13%,30%,37%,14%,46%,52%,2%,12%,49%,33%,7%,30%,17%,26%,9%,1%,1%,17%,39%,61%,0%,30%,21%,28%,13%,8%
Channelstv.com,Online Newspaper,7416146,52%,48%,2%,2%,49%,39%,8%,9%,20%,23%,32%,16%,56%,41%,3%,12%,36%,31%,21%,25%,14%,25%,11%,5%,2%,19%,48%,52%,0%,24%,33%,22%,12%,8%
cnn.com,Online Newspaper,7033772,50%,50%,2%,2%,49%,42%,7%,8%,24%,24%,27%,17%,64%,34%,2%,13%,34%,35%,16%,24%,14%,23%,13%,3%,1%,22%,44%,55%,0%,23%,37%,17%,15%,7%
completesportsnigeria.com,Online Newspaper,3015973,62%,38%,1%,7%,48%,36%,9%,3%,29%,34%,22%,13%,52%,45%,3%,13%,35%,32%,21%,15%,4%,30%,12%,6%,1%,35%,59%,41%,0%,24%,37%,25%,11%,3%
Dailyindependentnig.com,Online Newspaper,1560965,53%,47%,5%,8%,38%,36%,13%,12%,21%,20%,32%,15%,51%,48%,2%,13%,52%,20%,16%,27%,18%,23%,16%,2%,1%,14%,40%,60%,0%,37%,15%,23%,16%,9%
Dailytrust.com.ng,Online Newspaper,9017508,53%,47%,4%,2%,49%,40%,6%,11%,18%,25%,34%,12%,53%,46%,1%,10%,38%,29%,22%,26%,14%,23%,15%,5%,2%,16%,38%,61%,0%,25%,31%,25%,9%,10%
Leadership.ng,Online Newspaper,2859236,58%,42%,1%,6%,40%,39%,13%,5%,33%,26%,25%,12%,58%,39%,3%,12%,30%,34%,25%,16%,6%,33%,13%,3%,0%,29%,57%,42%,0%,27%,39%,19%,11%,4%
mynewswatchtimesng.com,Online Newspaper,780018,45%,55%,0%,2%,44%,50%,5%,13%,10%,13%,45%,20%,68%,32%,0%,16%,29%,47%,7%,37%,8%,25%,11%,0%,5%,15%,10%,90%,0%,15%,38%,12%,26%,10%
Naij.com,Online Newspaper,8380502,53%,47%,3%,2%,44%,44%,7%,11%,19%,24%,31%,16%,57%,38%,5%,11%,35%,32%,23%,25%,14%,24%,12%,5%,2%,19%,51%,49%,0%,29%,33%,20%,11%,8%
Nationaldailyng.com,Online Newspaper,1339069,49%,51%,6%,7%,38%,38%,10%,11%,11%,23%,41%,14%,49%,49%,2%,15%,48%,25%,13%,28%,21%,28%,6%,6%,1%,10%,40%,60%,0%,31%,22%,22%,16%,8%
Nationalmirroronline.net,Online Newspaper,957388,50%,50%,0%,2%,43%,51%,4%,12%,10%,19%,39%,20%,69%,29%,2%,15%,26%,49%,10%,32%,6%,25%,19%,2%,4%,12%,23%,77%,0%,19%,39%,11%,23%,9%
Newtelegraphonline.com,Online Newspaper,1270637,46%,54%,6%,7%,41%,35%,11%,7%,12%,26%,39%,16%,53%,45%,2%,16%,50%,27%,7%,29%,26%,26%,6%,2%,1%,11%,34%,66%,0%,34%,17%,22%,17%,10%
Ngrguardian.com,Online Newspaper,4125708,52%,48%,2%,6%,38%,45%,11%,5%,27%,27%,31%,10%,54%,35%,11%,12%,30%,37%,21%,22%,4%,35%,8%,4%,0%,28%,49%,51%,0%,31%,33%,22%,11%,4%
Nigeriaworld.com,Online Newspaper,2724102,55%,45%,3%,8%,44%,36%,9%,6%,28%,35%,21%,10%,56%,41%,2%,12%,32%,40%,17%,12%,6%,34%,13%,4%,0%,30%,55%,45%,0%,21%,37%,27%,12%,4%
Osundefender.org,Online Newspaper,1551146,53%,47%,5%,7%,42%,37%,10%,6%,12%,29%,34%,19%,45%,53%,2%,13%,47%,28%,12%,29%,19%,31%,9%,1%,1%,10%,32%,68%,0%,31%,19%,27%,14%,9%
Pioneernewsng.com,Online Newspaper,2463070,51%,49%,5%,7%,42%,36%,10%,10%,23%,19%,28%,19%,54%,45%,1%,16%,38%,27%,18%,29%,15%,23%,14%,3%,1%,15%,34%,66%,0%,29%,30%,23%,12%,6%
Pmnewsnigeria.com,Online Newspaper,579671,46%,54%,0%,3%,39%,52%,6%,12%,13%,8%,40%,27%,71%,29%,0%,22%,28%,40%,11%,34%,10%,25%,4%,0%,6%,20%,14%,86%,0%,14%,40%,6%,26%,13%
Punchng.com,Online Newspaper,7584747,51%,49%,2%,2%,46%,43%,8%,9%,21%,28%,26%,16%,64%,34%,2%,13%,34%,31%,22%,20%,14%,31%,9%,4%,1%,22%,53%,46%,0%,28%,34%,16%,14%,7%
Saharareporters.com,Online Newspaper,7804883,49%,51%,3%,1%,47%,43%,5%,8%,23%,24%,30%,15%,60%,35%,5%,12%,35%,34%,18%,25%,13%,22%,11%,5%,2%,23%,48%,52%,0%,25%,34%,19%,15%,8%
Sportsdayonline.com,Online Newspaper,3582193,58%,42%,1%,6%,43%,40%,10%,2%,30%,32%,25%,11%,58%,37%,4%,14%,33%,33%,19%,13%,5%,36%,10%,5%,0%,31%,52%,48%,0%,28%,35%,21%,13%,3%
Sunnewsonline.com,Online Newspaper,3129048,47%,53%,1%,7%,36%,45%,11%,4%,27%,27%,29%,12%,52%,34%,14%,13%,28%,39%,21%,19%,4%,31%,10%,6%,0%,30%,62%,38%,0%,32%,36%,17%,11%,3%
Thenationonlineng.net,Online Newspaper,2651724,58%,42%,1%,8%,44%,38%,9%,4%,32%,31%,22%,11%,55%,40%,4%,12%,33%,32%,22%,12%,7%,30%,13%,4%,1%,33%,58%,41%,0%,24%,39%,21%,12%,4%
Thisdayonline.com,Online Newspaper,2508613,52%,48%,3%,7%,43%,36%,12%,11%,16%,24%,31%,18%,49%,49%,2%,19%,41%,24%,15%,26%,17%,27%,12%,6%,1%,11%,41%,59%,0%,28%,30%,20%,13%,10%
Tribuneonlineng.com,Online Newspaper,2834121,50%,50%,5%,9%,43%,34%,10%,6%,34%,30%,21%,10%,55%,42%,2%,12%,36%,33%,19%,12%,4%,28%,18%,2%,3%,33%,60%,40%,0%,23%,34%,28%,11%,4%
Vanguardngr.com,Online Newspaper,5198214,57%,43%,2%,5%,46%,37%,9%,9%,25%,24%,33%,9%,52%,44%,4%,10%,33%,28%,29%,19%,5%,37%,10%,7%,1%,21%,47%,53%,0%,28%,31%,29%,9%,3%
Barca news,Online Newspaper,1062635,37%,63%,0%,2%,48%,40%,9%,9%,7%,13%,55%,16%,57%,41%,1%,12%,34%,43%,12%,34%,16%,24%,12%,0%,3%,11%,14%,86%,0%,20%,34%,19%,19%,8%
Goal.com,Online Newspaper,1253350,46%,54%,7%,7%,39%,36%,11%,7%,12%,25%,40%,16%,52%,46%,2%,16%,52%,24%,8%,30%,22%,28%,7%,2%,1%,10%,33%,67%,0%,32%,18%,22%,17%,11%
Premium times,Online Newspaper,1588145,51%,49%,5%,7%,40%,35%,13%,8%,14%,24%,34%,19%,49%,49%,2%,18%,51%,21%,11%,31%,21%,26%,7%,1%,1%,12%,32%,68%,0%,29%,26%,21%,14%,9%
the Nigerian.news,Online Newspaper,679212,39%,61%,0%,3%,43%,50%,5%,13%,11%,7%,47%,23%,68%,32%,0%,19%,31%,41%,9%,37%,9%,29%,3%,0%,5%,17%,12%,88%,0%,15%,35%,10%,29%,12%
M.goal,Online Newspaper,812785,46%,54%,0%,2%,44%,49%,5%,12%,9%,12%,46%,21%,70%,28%,1%,16%,28%,49%,7%,35%,7%,24%,16%,0%,5%,14%,11%,89%,0%,13%,41%,10%,25%,11%
thenigerian.news,Online Newspaper,1145609,47%,53%,7%,9%,41%,29%,14%,8%,10%,27%,39%,16%,42%,56%,2%,15%,55%,23%,7%,25%,24%,31%,6%,2%,1%,11%,30%,70%,0%,32%,21%,27%,10%,9%
Soccer 24.com,Online Newspaper,1588145,51%,49%,5%,7%,40%,35%,13%,8%,14%,24%,34%,19%,49%,49%,2%,18%,51%,21%,11%,31%,21%,26%,7%,1%,1%,12%,32%,68%,0%,29%,26%,21%,14%,9%
Bellanaija.com,Online Magazine,891524,51%,49%,5%,2%,51%,25%,17%,16%,8%,44%,24%,8%,20%,78%,2%,3%,40%,30%,27%,0%,25%,49%,20%,5%,1%,0%,78%,21%,1%,18%,38%,33%,2%,9%
Encomium.ng,Online Magazine,1564272,64%,36%,5%,8%,56%,15%,18%,13%,17%,26%,28%,16%,28%,68%,4%,4%,33%,31%,32%,14%,5%,57%,5%,7%,1%,11%,72%,28%,0%,23%,34%,42%,1%,0%
Fabmagazineonline.com,Online Magazine,643628,51%,49%,10%,5%,40%,20%,25%,18%,19%,24%,30%,10%,55%,41%,4%,0%,43%,11%,45%,14%,16%,33%,19%,17%,0%,0%,68%,32%,0%,20%,30%,34%,13%,3%
Genevieveng.com,Online Magazine,1566886,55%,45%,11%,8%,56%,23%,5%,24%,20%,24%,16%,15%,27%,73%,0%,3%,21%,43%,34%,16%,5%,42%,18%,3%,0%,15%,69%,31%,0%,32%,17%,51%,0%,1%
Marketingedge.com.ng,Online Magazine,639799,43%,57%,2%,1%,35%,35%,27%,8%,3%,11%,71%,6%,51%,39%,10%,45%,32%,6%,16%,10%,6%,70%,3%,3%,2%,6%,64%,36%,0%,68%,13%,10%,10%,0%
