MEDIA OUTLET,MEDIA TYPE,ESTIMATED AUDIENCE SIZE,REGION,STATE,Main State,Percentage,Other Key States,Percentage2,GENDER:,MALE,FEMALE,AGE GROUP OF LISTENERS:,Children (7 - 12),Teens (13 - 17),Youth/Young Adults (18 - 29),Middle Aged Adults (30 - 44),Older Adults,SOCIAL CLASS:,UPPER CLASS,UPPER MIDDLE CLASS,LOWER MIDDLE CLASS,LOWER CLASS,BELOW SUBSISTENCE,MARITAL STATUS:,MARRIED,SINGLE,OTHERS,LITERACY LEVEL(EDUCATION):,PRIMARY ORLOWER,HIGH/SECONDARY SCHOOL,DIPLOMA/NCE,"---DEGREE, HND OR HIGHER",AUDIENCE INCOME (PERSONAL):,"N30,000 OR LESS  _  _","N30,000 to N50,000  _  _","N50,000 to N100,000  _  _","N100,000 to N200,000   _","N200,000 to N500,000   _","N500,000   and above __    _",---Don't Know/Refused,RELIGION:,CHRISTIANITY,ISLAM,OTHERS_2,AUDIENCE OCCUPATION:,WORKING,SELF -MPLOYED,STUDENT/APPRENTICE,RETIRED/ FULL HOUSEWIFE,UNEMPLOYED,PROGRAMME WITH HIGHEST AUDIENCE:,Program Name (Highest),Percentage_3,Program Name (Second),Percentage_4,TIME:,Main peak period,Percentage_5,Subsidiary peak period,Percentage_6
"Radio Jigawa 93.5 FM, Andarza",Radio,1514801,NORTH WEST,Jigawa,Jigawa,100%,,,,60%,40%,,13%,8%,31%,41%,7%,,7%,4%,7%,58%,24%,,76%,20%,4%,,39%,43%,11%,7%,,55%,21%,13%,7%,4%,0%,0%,,4%,96%,0%,,17%,31%,27%,24%,1%,,News,52%,Educational,27%,,06:00 - 09:00 pm,30%,09:00 - 12:00 noon,26%
"Freedom 99.5 FM, Dutse",Radio,805416,NORTH WEST,Jigawa,Jigawa,100%,,,,69%,31%,,10%,8%,34%,41%,8%,,10%,4%,13%,53%,20%,,75%,22%,3%,,31%,45%,16%,8%,,50%,19%,11%,16%,0%,4%,0%,,3%,97%,0%,,15%,41%,24%,17%,3%,,News,61%,Religious Programme,29%,,03:00 - 06:00 pm,30%,09:00 - 12:00 noon,28%
"Horizon 100.5 FM, Dutse",Radio,1243822,NORTH WEST,Jigawa,Jigawa,100%,,,,61%,39%,,10%,6%,36%,43%,6%,,6%,8%,6%,59%,21%,,71%,24%,5%,,29%,54%,10%,7%,,51%,25%,16%,5%,3%,0%,0%,,2%,98%,0%,,17%,36%,26%,20%,1%,,News,62%,Educational,32%,,06:00 - 09:00 pm,34%,12:00 - 03:00 pm,21%
Dutse New World 95.5 FM,Radio,1303184,NORTH WEST,Jigawa,Jigawa,100%,,,,60%,40%,,16%,7%,34%,38%,4%,,6%,2%,7%,63%,22%,,73%,22%,5%,,38%,47%,10%,5%,,62%,14%,15%,6%,3%,0%,0%,,1%,99%,0%,,16%,27%,34%,22%,1%,,News,58%,Educational,32%,,09:00 - 12:00 noon,28%,06:00 - 09:00 pm,27%
Sawaba 104.9FM Hadeja Jigawa,Radio,176583,NORTH WEST,Jigawa,Jigawa,100%,,,,48%,52%,,7%,8%,37%,42%,6%,,10%,13%,12%,47%,18%,,77%,23%,0%,,27%,56%,10%,7%,,50%,10%,17%,7%,16%,0%,0%,,0%,100%,0%,,6%,50%,23%,17%,4%,,News,76%,Musicals,33%,,03:00 - 06:00 pm,34%,06:00 - 09:00 pm,26%
"KSMC AM, Kaduna",Radio,138921,NORTH WEST,Kaduna,Kaduna,100%,,,,47%,53%,,20%,7%,23%,42%,9%,,0%,18%,19%,18%,45%,,63%,37%,0%,,46%,18%,28%,8%,,12%,0%,26%,0%,0%,0%,62%,,72%,28%,0%,,9%,55%,27%,9%,0%,,News,85%,Religious Programme,58%,,06:00 - 09:00 am,51%,12:00 - 03:00 pm,25%
"Capital Sound FM/KSMC 90.9 FM, Kaduna",Radio,567093,NORTH WEST,Kaduna,Kaduna,100%,,,,44%,56%,,15%,5%,36%,42%,2%,,9%,29%,18%,16%,28%,,64%,33%,3%,,33%,22%,31%,14%,,3%,9%,20%,3%,6%,0%,59%,,58%,42%,0%,,9%,53%,25%,13%,0%,,News,61%,Talk Show,50%,,06:00 - 09:00 am,57%,12:00 - 03:00 pm,15%
"RayPower 106.5 FM, Kaduna",Radio,228010,NORTH WEST,Kaduna,Kaduna,100%,,,,52%,48%,,7%,3%,50%,34%,6%,,0%,11%,33%,23%,33%,,68%,32%,0%,,11%,72%,6%,11%,,6%,6%,31%,0%,0%,0%,57%,,45%,55%,0%,,5%,51%,16%,21%,7%,,News,92%,Religious Programme,33%,,06:00 - 09:00 am,48%,12:00 - 03:00 pm,26%
"Kada 89.9 FM, Kaduna",Radio,62079,NORTH WEST,Kaduna,Kaduna,100%,,,,21%,79%,,29%,10%,20%,20%,21%,,21%,20%,20%,0%,39%,,100%,0%,0%,,39%,20%,20%,21%,,0%,0%,33%,0%,35%,0%,32%,,41%,59%,0%,,21%,39%,39%,0%,1%,,News,67%,Political,35%,,06:00 - 09:00 am,100%,09:00 - 12:00 noon,35%
"Karama 92.1 FM, Kaduna",Radio,178179,NORTH WEST,Kaduna,Kaduna,100%,,,,59%,41%,,0%,0%,28%,72%,0%,,21%,7%,15%,14%,43%,,93%,7%,0%,,28%,22%,28%,22%,,14%,0%,21%,7%,7%,0%,51%,,50%,50%,0%,,14%,65%,0%,21%,0%,,News,79%,Talk Show,49%,,06:00 - 09:00 am,83%,03:00 - 06:00 pm,17%
"Alheri 97.7 FM, Kaduna",Radio,675133,NORTH WEST,Kaduna,Kaduna,100%,,,,60%,40%,,8%,5%,45%,41%,2%,,14%,23%,25%,19%,19%,,70%,30%,0%,,26%,26%,32%,16%,,10%,0%,19%,8%,14%,4%,45%,,45%,55%,0%,,10%,61%,12%,17%,0%,,News,78%,Talk Show,55%,,06:00 - 09:00 am,71%,03:00 - 06:00 pm,16%
"Supreme 96.1 FM, Kaduna",Radio,405351,NORTH WEST,Kaduna,Kaduna,100%,,,,52%,48%,,12%,4%,26%,55%,3%,,6%,31%,38%,12%,13%,,77%,19%,4%,,28%,25%,34%,13%,,4%,11%,34%,0%,4%,4%,43%,,59%,38%,3%,,10%,53%,19%,18%,0%,,News,55%,Talk Show,51%,,06:00 - 09:00 am,56%,09:00 - 12:00 noon,20%
"Nagarta Radio 747 HHz, Kaduna",Radio,745271,NORTH WEST,Kaduna,Kaduna,100%,,,,47%,53%,,17%,6%,30%,49%,0%,,12%,22%,34%,25%,7%,,76%,24%,0%,,25%,20%,40%,15%,,4%,2%,24%,4%,8%,2%,56%,,27%,73%,0%,,12%,41%,27%,20%,0%,,Talk Show,57%,News,51%,,06:00 - 09:00 am,64%,09:00 - 12 midnight,12%
Radio Nigeria-1 (SW),Radio,89927,NORTH WEST,Kaduna,Kaduna,100%,,,,73%,27%,,11%,4%,29%,43%,14%,,15%,29%,15%,41%,0%,,66%,34%,0%,,14%,29%,28%,29%,,0%,0%,17%,17%,0%,0%,66%,,15%,85%,0%,,30%,43%,13%,0%,14%,,Political,100%,Talk Show,100%,,06:00 - 09:00 am,100%,03:00 - 06:00 pm,67%
Radio Nigeria-2 (MW),Radio,50669,NORTH WEST,Kaduna,Kaduna,100%,,,,52%,48%,,20%,7%,12%,38%,24%,,0%,26%,26%,24%,24%,,67%,0%,33%,,50%,24%,26%,0%,,0%,33%,0%,0%,0%,0%,67%,,50%,50%,0%,,0%,50%,26%,24%,0%,,News,100%,Political,52%,,06:00 - 09:00 pm,100%,09:00 - 12 midnight,100%
Liberty Radio 91.7 Super FM Kaduna,Radio,871106,NORTH WEST,Kaduna,Kaduna,100%,,,,47%,53%,,17%,8%,30%,44%,3%,,13%,15%,41%,17%,14%,,71%,27%,2%,,28%,21%,35%,16%,,2%,2%,20%,6%,6%,4%,60%,,41%,58%,1%,,19%,37%,26%,18%,0%,,News,50%,Talk Show,50%,,06:00 - 09:00 am,67%,09:00 - 12:00 noon,15%
"Freedom Radio 92.9 FM, Kaduna",Radio,367768,NORTH WEST,Kaduna,Kaduna,100%,,,,53%,47%,,8%,3%,38%,46%,7%,,7%,28%,38%,17%,10%,,65%,31%,4%,,17%,24%,41%,18%,,0%,15%,28%,4%,0%,4%,49%,,38%,62%,0%,,11%,65%,17%,7%,0%,,News,58%,Talk Show,42%,,06:00 - 09:00 am,55%,12:00 - 03:00 pm,25%
