MEDIA OUTLET,MEDIA TYPE, ESTIMATED AUDIENCE SIZE ,MALE,FEMALE,Children (7 - 12),Teens (13 - 17),Youth/Young Adults (18 - 29),Middle Aged Adults (30 - 44),Older Adults,UPPER CLASS,UPPER MIDDLE CLASS,LOWER MIDDLE CLASS,LOWER CLASS,BELOW SUBSISTENCE,MARRIED,SINGLE,OTHERS,PRIMARY ORLOWER,HIGH/SECONDARY SCHOOL,DIPLOMA/NCE,"   DEGREE, HND OR HIGHER",OTHERS_1,"N30,000 OR LESS  _  _","N30,000 to N50,000  _  _","N50,000 to N100,000  _  _","N100,000 to N200,000   _","N200,000 to N500,000   _","N500,000   and above __    _",   Don't Know/Refused,CHRISTIANITY,ISLAM,OTHERS_2,WORKING,   Now Doing Military/Youth Srvc,STUDENT/APPRENTICE,RETIRED/ FULL HOUSEWIFE,UNEMPLOYED
Africa Magic Epic (DStv),DSTV Channels (T-20),6613544,47%,53%,5%,29%,46%,19%,1%,7%,24%,31%,33%,5%,39%,58%,3%,5%,54%,26%,14%,1%,75%,10%,4%,1%,0%,0%,10%,75%,25%,0%,48%,1%,45%,3%,3%
ZEE World (DStv),DSTV Channels (T-20),6556135,46%,54%,5%,26%,48%,20%,1%,6%,27%,34%,31%,2%,40%,57%,3%,3%,53%,27%,16%,1%,66%,13%,8%,3%,0%,0%,10%,71%,29%,0%,58%,1%,35%,3%,3%
Africa Magic Yoruba (DStv),DSTV Channels (T-20),5195516,42%,58%,5%,29%,47%,19%,0%,7%,26%,32%,32%,3%,43%,54%,3%,4%,54%,27%,14%,1%,70%,16%,5%,1%,0%,0%,8%,67%,33%,0%,59%,0%,35%,2%,4%
SuperSport Premier League (DStv),DSTV Channels (T-20),4356676,51%,49%,4%,30%,48%,17%,1%,8%,24%,31%,31%,6%,34%,64%,2%,4%,52%,27%,16%,1%,72%,11%,6%,1%,0%,0%,10%,67%,33%,0%,43%,1%,50%,3%,3%
CNN (DStv),DSTV Channels (T-20),4183485,51%,49%,6%,32%,45%,16%,1%,7%,23%,28%,35%,7%,33%,64%,3%,7%,46%,32%,15%,0%,78%,8%,5%,1%,0%,0%,8%,64%,36%,0%,41%,0%,53%,2%,4%
Africa Magic Family (DStv),DSTV Channels (T-20),3552324,54%,46%,4%,27%,51%,18%,1%,7%,28%,35%,27%,3%,37%,60%,3%,4%,52%,26%,17%,1%,61%,13%,12%,6%,0%,0%,8%,62%,38%,0%,51%,1%,38%,5%,5%
SS Blitz (DStv),DSTV Channels (T-20),3154407,51%,49%,6%,27%,48%,18%,1%,5%,24%,32%,34%,5%,40%,56%,4%,3%,55%,25%,16%,1%,66%,17%,7%,1%,0%,0%,9%,66%,34%,0%,50%,1%,43%,3%,3%
Africa Magic Hausa (DStv),DSTV Channels (T-20),2744976,52%,48%,6%,30%,47%,17%,1%,8%,25%,30%,29%,8%,34%,63%,3%,3%,50%,33%,14%,0%,73%,11%,6%,3%,0%,0%,7%,50%,50%,0%,41%,0%,51%,6%,2%
Africa Magic Urban (DStv),DSTV Channels (T-20),2737914,52%,48%,5%,32%,45%,17%,1%,7%,25%,32%,30%,6%,34%,63%,3%,5%,48%,31%,15%,1%,72%,10%,9%,1%,0%,0%,8%,64%,36%,0%,44%,1%,48%,2%,5%
Africa Magic Igbo (DStv),DSTV Channels (T-20),2732599,47%,53%,4%,25%,52%,19%,1%,8%,27%,34%,29%,2%,41%,56%,3%,2%,60%,23%,14%,1%,59%,16%,14%,3%,0%,0%,8%,67%,33%,0%,55%,1%,36%,4%,4%
