MEDIA OUTLET,MEDIA TYPE, ESTIMATED AUDIENCE SIZE ,MALE,FEMALE,Children (7 - 12),Teens (13 - 17),Youth/Young Adults (18 - 29),Middle Aged Adults (30 - 44),Older Adults,UPPER CLASS,MIDDLE CLASS,LOWER CLASS,BELOW SUBSISTENCE
"Abuja,Channels TV Abuja",Channels 10pm News,879432,53%,47%,4%,22%,46%,25%,3%,8%,55%,31%,6%
"Lagos,Channels TV Lagos",Channels 10pm News,1870059,46%,54%,4%,28%,36%,27%,6%,8%,43%,42%,7%
"Edo,Channels TV",Channels 10pm News,1090484,54%,46%,5%,17%,43%,29%,6%,5%,60%,30%,5%
Channels TV (DStv),Channels 10pm News,1372080,49%,51%,3%,17%,46%,30%,5%,10%,59%,27%,4%
Channels TV GOtv,Channels 10pm News,2085281,52%,48%,3%,16%,50%,29%,3%,5%,64%,27%,4%
ST Channels TV,Channels 10pm News,2857759,51%,49%,2%,17%,45%,33%,3%,7%,62%,26%,5%
22h00-22h15,Channels 10pm News,41765477,51%,49%,4%,18%,46%,27%,5%,8%,52%,34%,6%
22h15-22h30,Channels 10pm News,40603912,51%,49%,4%,18%,46%,27%,5%,8%,52%,34%,6%
22h30-22h45,Channels 10pm News,37101188,51%,49%,4%,18%,47%,27%,5%,8%,53%,33%,6%
22h45-23h00,Channels 10pm News,35280126,51%,49%,4%,18%,47%,27%,5%,8%,52%,34%,6%
"Abuja,Channels TV Abuja",Channels Politics Today,879432,53%,47%,4%,22%,46%,25%,3%,8%,55%,31%,6%
"Lagos,Channels TV Lagos",Channels Politics Today,1870059,46%,54%,4%,28%,36%,27%,6%,8%,43%,42%,7%
"Edo,Channels TV",Channels Politics Today,1090484,54%,46%,5%,17%,43%,29%,6%,5%,60%,30%,5%
Channels TV (DStv),Channels Politics Today,1372080,49%,51%,3%,17%,46%,30%,5%,10%,59%,27%,4%
Channels TV GOtv,Channels Politics Today,2085281,52%,48%,3%,16%,50%,29%,3%,5%,64%,27%,4%
ST Channels TV,Channels Politics Today,2857759,51%,49%,2%,17%,45%,33%,3%,7%,62%,26%,5%
Sunday,Channels Politics Today,63605371,51%,49%,4%,19%,47%,25%,5%,8%,50%,35%,7%
20h00-20h15,Channels Politics Today,53760830,51%,49%,4%,19%,47%,26%,5%,8%,51%,35%,6%
20h15-20h30,Channels Politics Today,53490277,51%,49%,4%,19%,47%,26%,5%,8%,51%,35%,6%
20h30-20h45,Channels Politics Today,52425650,51%,49%,4%,19%,47%,26%,5%,8%,51%,35%,6%
20h45-21h00,Channels Politics Today,50143296,51%,49%,4%,19%,47%,26%,5%,8%,51%,35%,6%
"Abuja,Channels TV Abuja",Channels Sunrise Daily,879432,53%,47%,4%,22%,46%,25%,3%,8%,55%,31%,6%
"Lagos,Channels TV Lagos",Channels Sunrise Daily,1870059,46%,54%,4%,28%,36%,27%,6%,8%,43%,42%,7%
"Edo,Channels TV",Channels Sunrise Daily,1090484,54%,46%,5%,16%,44%,29%,6%,5%,60%,30%,5%
Channels TV (DStv),Channels Sunrise Daily,1372080,49%,51%,3%,17%,46%,30%,5%,10%,59%,27%,4%
Channels TV GOtv,Channels Sunrise Daily,2085281,52%,48%,3%,16%,50%,29%,3%,5%,64%,27%,4%
ST Channels TV,Channels Sunrise Daily,2857759,51%,49%,2%,17%,45%,33%,3%,7%,62%,26%,5%
07h00-07h15,Channels Sunrise Daily,46735729,51%,49%,4%,19%,46%,26%,5%,7%,49%,37%,7%
07h15-07h30,Channels Sunrise Daily,47089403,51%,49%,4%,19%,46%,26%,5%,8%,49%,36%,7%
07h30-07h45,Channels Sunrise Daily,44836107,51%,49%,4%,19%,46%,26%,5%,7%,50%,36%,7%
07h45-08h00,Channels Sunrise Daily,44279020,51%,49%,4%,19%,46%,26%,5%,7%,50%,36%,7%
08h00-08h15,Channels Sunrise Daily,47452656,51%,49%,4%,19%,47%,26%,5%,8%,49%,36%,7%
08h15-08h30,Channels Sunrise Daily,47724892,51%,49%,4%,19%,47%,26%,5%,8%,49%,36%,7%
08h30-08h45,Channels Sunrise Daily,46294571,50%,50%,4%,19%,46%,26%,5%,7%,50%,36%,7%
08h45-09h00,Channels Sunrise Daily,45280167,50%,50%,4%,19%,47%,25%,5%,8%,49%,36%,7%
"Abuja,Channels TV Abuja",Channels - Rubbing Minds,879432,53%,47%,4%,22%,46%,25%,3%,8%,55%,31%,6%
"Lagos,Channels TV Lagos",Channels - Rubbing Minds,1870059,46%,54%,4%,28%,36%,27%,6%,8%,43%,42%,7%
"Edo,Channels TV",Channels - Rubbing Minds,1090484,54%,46%,5%,17%,43%,29%,6%,5%,60%,30%,5%
Channels TV (DStv),Channels - Rubbing Minds,1372080,49%,51%,3%,17%,46%,30%,5%,10%,59%,27%,4%
Channels TV GOtv,Channels - Rubbing Minds,2085281,52%,48%,3%,16%,50%,29%,3%,5%,64%,27%,4%
ST Channels TV,Channels - Rubbing Minds,2857759,51%,49%,2%,17%,45%,33%,3%,7%,62%,26%,5%
Sunday,Channels - Rubbing Minds,63605371,51%,49%,4%,19%,47%,25%,5%,8%,50%,35%,7%
